"time","call_identity_connected","cleanup_detach_events","cleanup_shots_scheduled","client_disconnected","fire_vehicle_weapon","fire_weapon","interact_vehicle","projectile_impact","reload_vehicle_weapon","reload_weapon","request_chunks","reset_map","send_chat","set_loadout","set_username","switch_vehicle_weapon","sync_entity_transform","tick_environment","tick_grenades","tick_health_regen","tick_vehicles","update_position","update_vehicle_input","vehicle_projectile_impact"
"2026-03-17T10:23:00.000Z",0,0.00000978400000000157,0.000020552100000070794,0,0,0,0,0,0,0,0.010339365400011503,0,0,0,0,0,0.00031153350000003857,0.00000691200000000336,0.0019110437000165348,0.00006504020000015487,0.00779557959954218,0.0008569836999981818,0,0
"2026-03-17T10:23:30.000Z",0,0.000016575999999979273,0.000040780299999987335,0,0.000028036199999981194,0,0,0,0,0,0.016809579499994242,0,0,0,0,0,0,0.00000892809999999411,0.0020595113999775094,0.00007226839999976421,0.012051288099928571,0.0009734313999949507,0.002424261299999309,0.012056052300000175
"2026-03-17T10:24:00.000Z",0,0.000010427999999995664,0.000021160100000017226,0,0,0,0,0,0,0,0.00023192099999391758,0,0,0,0,0,0,0.00000636800000000104,0.0018597478999424766,0.0000693642999999966,0.011997523899617592,0.000909774799998786,0.0026306864999993355,0
"2026-03-17T10:24:30.000Z",0,0.000009984000000029525,0.000019508000000012516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009288100000004462,0.001896432200032905,0.00006043629999989975,0.012575035299869343,0.0010164080000002686,0.003245695099998436,0
"2026-03-17T10:25:00.000Z",0,0.00001286809999996308,0.000022432000000094378,0,0.000009551999999990458,0,0,0,0,0,0,0,0,0,0,0,0,0.000008611999999996734,0.0019197393000467855,0.00007206830000008325,0.013011477599911815,0.0014581177999964724,0.004266263800000481,0
"2026-03-17T10:25:30.000Z",0,0.000016411999999998985,0.00007934030000003035,0,0.00004653240000003223,0,0,0,0,0,0,0,0,0,0,0,0,0.0000068519999999905325,0.0017256226000142761,0.00007549620000002477,0.013836680399754187,0.0012148568999997167,0.0040192203999994906,0.013782428499999711
"2026-03-17T10:26:00.000Z",0,0.000013708100000009438,0.00007743229999999102,0,0,0,0,0,0,0,0.0008419394999975794,0,0,0,0,0,0,0.0000070720000000079615,0.001808603499932815,0.00007313250000038352,0.013037241599931804,0.0009080873000002044,0.002687607199998965,0.003942600199999902
"2026-03-17T10:26:30.000Z",0,0.000020271999999987855,0.00006057229999996139,0,0.00011794059999994389,0,0,0,0,0,0.0006356105999998363,0,0,0,0,0,0,0.00000828809999999791,0.002245653699941386,0.00008981219999988356,0.012741868400144086,0.0010774204000007614,0.0025562705999998773,0.028652698399999822
"2026-03-17T10:27:00.000Z",0,0.000013804199999967182,0.00007503629999998651,0,0.00001813600000000193,0,0,0,0,0,0.0012045731000000616,0,0,0,0,0,0,0.00000489599999999868,0.0023006364000025315,0.00007358440000011514,0.012573299900077474,0.0009298717999968176,0.002708402700000079,0.009591479799999547
"2026-03-17T10:27:30.000Z",0,0.000015116200000031555,0.00011890849999991461,0,0.000035468000000005163,0,0,0,0,0,0,0,0,0,0,0,0,0.000006456100000007404,0.0023096819999977925,0.00006966439999995799,0.01441651140025897,0.0014832109999979083,0.003315733600001103,0.014078870800000233
"2026-03-17T10:28:00.000Z",0,0.000013951999999983755,0.000022136000000028135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004255019000003024,0.000008075999999990202,0.0017666429000257724,0.00008559249999979813,0.010241033500278718,0.0012818322999997634,0,0
"2026-03-17T10:28:30.000Z",0,0.000022372000000014937,0.00008368039999995247,0,0,0.00006918039999987968,0,0.012392096099999606,0,0,0,0,0,0,0,0,0.0004216653999998599,0.000007112000000009111,0.013397732999970914,0.00006878819999993624,0.010371187900000224,0.0015773787000007645,0,0
"2026-03-17T10:29:00.000Z",0,0.00001230020000000387,0.00002138010000001245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004047936000000085,0.00001159200000000471,0.0018339638000384184,0.00007222820000016839,0.010116746399853584,0.0009716167000000553,0,0
"2026-03-17T10:29:30.000Z",0,0.000013460100000006748,0.00004224809999993085,0,0,0.00004235210000018697,0,0.015445705300000157,0,0.000013680100000000064,0,0,0,0,0,0,0.0004780019999998331,0.000013988099999995286,0.002335825799985969,0.00006646039999989029,0.010419931799879123,0.0022743764999994197,0,0
"2026-03-17T10:30:00.000Z",0,0.000010560100000001071,0.000020467999999951304,0,0,0,0,0,0,0,0.00024305679999656605,0,0,0,0,0,0.0003696017000003771,0.000006924100000005318,0.0017659036999646107,0.00007874440000001926,0.010286559300266163,0.0008529187999975819,0,0
"2026-03-17T10:30:30.000Z",0,0.000018328099999997962,0.000044320300000055826,0,0,0.00007020819999983275,0,0.018139305100000058,0,0.0000057639999999999435,0,0,0,0,0,0,0.0004139906000005134,0.000008392100000009784,0.0018493563999925301,0.00006906810000000263,0.01039161689991488,0.0013405259000030868,0,0
"2026-03-17T10:31:00.000Z",0,0.000010663999999982466,0.00002252799999995503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000863200000000841,0.0017731711999601886,0.0000770046000001301,0.01234774419999667,0,0,0
"2026-03-17T10:31:30.000Z",0,0.000016804000000014698,0.00002732010000006113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000860009999998912,0.001946280000021261,0.0000721922000000319,0.010510724799860328,0,0,0
"2026-03-17T10:32:00.000Z",0,0.00001566400000001522,0.000018624100000064205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000995999999999775,0.0018233354999949826,0.00007370839999989443,0.010275103599769865,0,0,0
"2026-03-17T10:32:30.000Z",0,0.000012520199999999095,0.00002247210000003719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006639999999991098,0.0017322595999701208,0.00007404850000014562,0.010365760400190993,0,0,0
"2026-03-17T10:33:00.000Z",0,0.000013264099999998891,0.00001945619999998982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008615999999994628,0.001721527699970693,0.00007039659999996672,0.010557374400104892,0,0,0
"2026-03-17T10:33:30.000Z",0,0.000012963999999993093,0.000019808099999973906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007836000000005505,0.0018904950999740324,0.00008308440000011076,0.010698413599993729,0,0,0
"2026-03-17T10:34:00.000Z",0.00002642409999999984,0.00002021619999998947,0.000023916099999965468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006788000000002015,0.0021157604999928028,0.00008704430000019415,0.01097247920006339,0,0,0
"2026-03-17T10:34:30.000Z",0,0.000011679999999980596,0.00004894829999999573,0,0,0.02194759069999961,0,0,0,0,0,0,0,0,0,0,0.0004044384000002843,0.000007660000000009327,0.010069062499985649,0.00007501639999976107,0.010733597700118482,0.001528798899999373,0,0
"2026-03-17T10:35:00.000Z",0,0.000037220200000032126,0.00004026409999999814,0,0,0.00005080430000017344,0,0.013776799500000436,0,0,0,0,0,0,0,0,0.0005443988000001454,0.000008831999999991958,0.0022892777000095067,0.00007459239999985101,0.011015551999571473,0.0024502985000019353,0,0
"2026-03-17T10:35:30.000Z",0,0.000010523999999989542,0.00003688810000008758,0,0,0.000010456000000047538,0,0.0030739932999999556,0,0,0,0,0,0,0,0,0.0004626532000003181,0.00000824809999999676,0.0018995389000110664,0.00020192880000013957,0.010533641500205705,0.0021172966000001735,0,0
